15
15
30
6,5
7,6
8,5
8,4
7,3
8,3
8,2
8,1
7,2
7,3
7,2
7,2
3,7
4,7
5,6
5,6
6,6
5,6
4,5
3,4
4,4
4,5
5,4
6,4
5,4
4,5
4,6
4,6
4,5
5,6
4,7
3,8
3,8
2,7
3,7
4,7
8,1
8,2
8,1
8,0
8,0
8,1
7,0
7,1
6,0
7,1
8,0
7,0
8,6
8,6
7,5
7,6
6,7
6,6
5,7
6,8
6,8
6,7
7,7
6,8
5,3
5,3
5,4
4,5
3,5
4,4
3,3
4,3
3,2
4,2
3,1
4,2
8,7
8,7
7,6
8,6
8,6
7,6
6,7
5,8
6,8
7,8
8,8
8,8
0,2
1,3
1,3
1,4
0,5
1,5
0,6
1,5
0,4
1,4
2,4
2,5
5,6
6,7
7,6
7,6
6,5
7,6
8,5
7,5
8,6
8,7
7,6
7,7
8,6
8,7
7,7
7,6
6,6
5,6
5,5
5,6
6,7
6,8
5,8
5,7
7,5
6,4
6,5
6,6
7,6
6,5
5,4
6,3
7,2
6,1
5,2
4,2
2,3
1,4
1,3
2,4
3,5
4,6
3,7
3,7
4,8
4,7
3,7
4,8
5,8
5,8
5,8
4,8
4,7
3,6
4,5
3,4
2,5
2,4
2,5
2,4
5,3
4,2
4,2
4,2
5,1
5,2
6,1
6,1
6,0
7,0
7,0
8,1
1,8
0,8
0,8
1,8
2,7
3,8
2,7
3,7
3,6
2,5
3,6
3,7
8,6
7,5
7,5
6,6
7,7
6,7
6,7
6,8
6,7
6,8
7,7
7,6
8,3
7,3
7,3
8,2
7,2
6,1
5,1
5,0
6,0
7,1
6,2
6,2
7,0
7,0
6,0
6,1
6,1
7,0
6,1
7,0
7,0
7,1
7,1
6,2
2,3
1,4
0,5
1,5
0,6
0,5
1,4
1,4
0,5
1,6
1,7
1,8
7,1
8,0
8,1
8,1
7,0
6,1
6,0
7,1
7,1
7,0
6,0
7,1
9,10
9,11
12,9
11,10
13,14
12,12
13,14
12,11
11,14
8,11
9,14
3,9
4,10
4,11
4,10
4,10
3,13
7,13
10,10
10,14
13,11
14,3
12,8
12,4
10,6
8,11
9,13
8,11
5,14
5,12
5,11
6,8
8,13
10,5
13,7
13,9
13,12
12,12
13,13
9,9
9,10
4,12
1,8
7,1
8,0
8,1
8,1
7,0
6,1
6,0
7,1
7,1
7,0
6,0
7,1
9,10
9,11
12,9
11,10
13,14
12,12
13,14
12,11
11,14
8,11
9,14
3,9
4,10
4,11
4,10
4,10
3,13
7,13
10,10
10,14
13,11
14,3
12,8
12,4
10,6
8,11
9,13
8,11
3,14
0,13
0,11
1,12
1,9
1,5
4,12
4,14
4,9
14,3
14,0
12,8
4,6
3,7
3,7
4,8
4,7
3,7
4,8
5,8
5,8
5,8
4,8
4,7
3,6
4,5
3,4
2,5
2,4
2,5
2,4
5,3
4,2
4,2
4,2
5,1
5,2
